"Query Name","Hit Contig ID","Hit length","Nb. HSPs","Score ","E Value ","Align. length","Identity","Query Start Position","Query End Position","Query frame","Query Coverage","Hit Start Position","Hit End Position","Hit frame","Hit coverage"
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,311,3E-161,349,96.6%,3009,3354,1,5.2%,68009,68357,1,0.1%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,241,2E-122,327,91.7%,3622,3942,1,4.8%,75277,75600,1,0.1%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,130,1E-060,511,77.3%,1875,2336,1,6.9%,66496,66989,1,0.1%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,100,5E-044,206,84.5%,832,1026,1,2.9%,85933,86129,1,0%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,97,2E-042,206,84%,832,1026,1,2.9%,65290,65486,1,0%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,97,2E-042,206,84%,832,1026,1,2.9%,72473,72669,1,0%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,97,2E-042,206,84%,832,1026,1,2.9%,79223,79419,1,0%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,73,5E-029,101,92.1%,1728,1828,1,1.5%,66395,66487,1,0%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,53,7E-018,59,96.6%,1545,1603,1,0.9%,364140,364198,1,0%
"EarlyHisEnd Positionne","Utg198178_LN:i:496877_RC:i:30_XO:i:0_pilon",479333,47,41,3E-011,44,97.7%,3953,3996,1,0.7%,75635,75678,1,0%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,5352,0,5973,96.9%,816,6710,1,87.9%,54998,60917,1,4.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,3924,0,4599,95.7%,816,5326,1,67.2%,76574,81098,1,3.5%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,3104,0,3347,97.7%,3386,6710,1,49.6%,72471,75809,1,2.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,3029,0,3293,97.5%,3452,6710,1,48.6%,65442,68726,1,2.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,2719,0,3124,96%,3622,6710,1,46%,51140,54244,1,2.4%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,2205,0,2504,96.5%,816,3293,1,36.9%,61676,64135,1,1.9%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,2167,0,3184,90.2%,3622,6710,1,46%,44475,47585,1,2.4%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,2129,0,3194,89.8%,3622,6710,1,46%,37799,40923,1,2.4%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,1873,0,2134,96.3%,816,2946,1,31.8%,83290,85373,1,1.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,1336,0,1450,97.5%,5273,6710,1,21.4%,81087,82536,1,1.1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,1207,0,1404,95.9%,2020,3397,1,20.5%,70637,72020,1,1.1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,1123,0,1195,98.1%,816,2009,1,17.8%,69480,70669,1,0.9%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,955,0,1364,90.8%,1016,2336,1,19.7%,48543,49881,1,1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,931,0,1361,90.3%,1016,2336,1,19.7%,41892,43224,1,1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,921,0,1364,90%,1016,2336,1,19.7%,35218,36560,1,1.1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,907,0,1217,91.9%,2428,3624,1,17.8%,49908,51112,1,0.9%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,861,0,1221,90.8%,2428,3624,1,17.8%,43251,44447,1,0.9%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,858,0,1213,90.8%,2428,3624,1,17.8%,36587,37771,1,0.9%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,750,0,794,98.4%,1,793,1,11.8%,54239,55024,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,747,0,794,98.2%,1,793,1,11.8%,68721,69506,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,747,0,794,98.2%,1,793,1,11.8%,82531,83316,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,735,0,799,97.6%,1,793,1,11.8%,60912,61702,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,723,0,805,97%,1,793,1,11.8%,75804,76600,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,566,0,770,91.8%,1,754,1,11.2%,40918,41673,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,511,0,726,90.9%,1,706,1,10.5%,47580,48291,1,0.6%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,345,3E-180,518,89.6%,248,754,1,7.6%,34492,34999,1,0.4%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,325,4E-169,552,86.8%,3981,4527,1,8.2%,89524,90064,1,0.4%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,100,5E-044,206,84.5%,832,1026,1,2.9%,41670,41866,1,0.2%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,100,5E-044,206,84.5%,832,1026,1,2.9%,48321,48517,1,0.2%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,97,2E-042,206,84%,832,1026,1,2.9%,34996,35192,1,0.2%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,83,1E-034,128,88.3%,5453,5580,1,1.9%,92451,92578,1,0.1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,78,8E-032,91,95.6%,3321,3410,1,1.3%,64137,64227,1,0.1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,69,8E-027,84,94%,2688,2771,1,1.3%,85371,85454,1,0.1%
"EarlyHisEnd Positionne","Utg200276_LN:i:128198_RC:i:7_XO:i:0_pilon",127611,34,68,3E-026,83,94%,5576,5658,1,1.2%,92739,92821,1,0.1%
